indicator_id,indicator_description,indicator_reference,numerator_measure_id,numerator_label,denominator_measure_id,denominator_label,temporal_early,temporal_late,temporal_min,temporal_min_units,temporal_max,temporal_max_units,benchmark,benchmark_unit
20,Time from gp referral to first specialist seen,LUCAP 1.1,36,First specialist seen,0,Full report cohort,dt_current_start,dt_numerator,,,,,,days
21,Time from gp referral to first treatment or palliative care contact,,52,Any treatment or palliative care referral,0,Full report cohort,dt_current_start,dt_numerator,,,,,,days
22,Time from diagnosis to palliative care referral for stage IV patients,,34,Palliative care referral,15,Stage 4,dt_current_start,dt_numerator,,,,,,days
24,Patients seen by dietitian,,79,Seen by dietitian,0,Full report cohort,dt_current_start,dt_numerator,,,,,50,
7,Stage I-II NSCLC who had curative surgery,LUCAP 4.4,82,Surgery,41,Stage I-II NSCLC,,,,,,,70,percent
13,Stage I-III SCLC patients who received concurrent chemoRT,LUCAP New,23,Concurrent chemoRT,43,Stage I-III SCLC,,,,,,,80,percent
10,Stage IB-IIA NSCLC patients who receive neoadjuvant or adjuvant chemotherapy before or after surgery,LUCAP 4.8,22,Any systemic therapy,54,Stage IB-IIA NSCLC patients who had surgery,,,,,,,75,
12,SCLC patients who received systemic therapy <= 14 days of path diagnosis,,22,Any systemic therapy,25,Small cell lung cancer,dt_current_start,dt_numerator,,,,days,,percent
15,Stage IV lung cancer patients referred to palliative care,,34,Palliative care referral,15,Stage 4,dt_current_start,dt_numerator,,days,,days,80,
11,SCLC patients who received systemic therapy,LUCAP 4.12,22,Any systemic therapy,25,Small cell lung cancer,,,,,,,80,percent
8,"Stage I-II NSCLC who did not have surgery, who had curative RT",LUCAP 4.6,21,Curative RT,49,Stage I-II NSCLC who did not have surgery,,,,,,,80,percent
9,"Stage III NSCLC with ECOG 0-1 who did not undergo surgery, and had both curative RT and chemotherapy",LUCAP 4.9,53,Both curative RT and chemotherapy,51,Stage III NSCLC with ECOG 0-1 who did not undergo surgery,,,,,,,80,percent
19,Any treatment within 30 days of death,,73,Any treatment <= 30 days before death,17,Death,dt_numerator,dt_denominator,,,,days,10,
14,Stage IV non-squamous NSCLC patients who have molecular testing,LUCAP 4.2,37,Molecular testing,46,Stage IB-IIA non-squamous SCLC ,,,,,,,90,
6,Stage I-III NSCLC - pulmonary function before treatment (RT),LUCAP 2.7,32,Pulmonary function,48,Stage I-III NSCLC undergoing curative Rx (RT),dt_numerator,dt_denominator,,days,,,90,percent
5,Stage I-III NSCLC - pulmonary function before treatment (Surgery),LUCAP 2.7,32,Pulmonary function,47,Stage I-III NSCLC undergoing curative Rx (Surgery),dt_numerator,dt_denominator,,days,,,90,percent
3,Documented ECOG status,LUCAP 3.2,30,Documented ECOG,0,Full report cohort,,,,,,,95,percent
18,Seen by specialist nurse at diagnosis time,LUCAP 5.1,35,Seen by specialist lung cancer nurse,0,Full report cohort,dt_current_start,dt_numerator,,days,,days,,
1,Presented at Lung MDT meeting ,LUCAP 3.1,33,Discussed at MDT,0,Full report cohort,,,,,,,85,percent
4,Documented smoking status,LUCAP 4.1,31,Documented smoking status,0,Full report cohort,,,,,,,95,
2,Confirmed pathological diagnosis,LUCAP 2.1,16,Confirmed pathologic dx,0,Full report cohort,,,,,,,70,percent
17,Receiving any treatment,LUCAP 4.2,24,Any treatment,0,Full report cohort,,,,,,,80,
16,Stage IV NSCLC receipt of systemic therapy,LUCAP 4.1,22,Any systemic therapy,45,Stage IV NSCLC,,,,,,,90,
23,Systemic therapy starting within 30 days of diagnosis date,,22,Any systemic therapy,0,Full report cohort,dt_current_start,dt_numerator,,,,,80,percent
