query_rule_id,query_matcher,query_concept_id,query_notes,scalar_threshold,threshold_direction,threshold_comparator,phenotype_id
1,hierarchy,1634946,,,,,
2,hierarchy,1634242,,,,,
3,hierarchy,1635657,,,,,
4,hierarchy,1635838,,,,,
5,hierarchy,1633544,,,,,
6,hierarchy,1633843,,,,,
7,hierarchy,1634275,,,,,
8,hierarchy,1633775,,,,,
12,hierarchy,1633369,,,,,
14,hierarchy,1633950,,,,,
15,hierarchy,1633634,,,,,
16,hierarchy,1634286,,,,,
17,hierarchy,1635593,,,,,
18,hierarchy,1633908,,,,,
19,hierarchy,1633633,,,,,
20,hierarchy,1635131,,,,,
24,hierarchy,1634764,,,,,
25,hierarchy,1633907,,,,,
26,hierarchy,1635388,,,,,
27,hierarchy,1634453,,,,,
28,hierarchy,1634124,,,,,
29,hierarchy,1634191,,,,,
30,hierarchy,1634072,,,,,
31,hierarchy,1634308,,,,,
33,hierarchy,1635631,,,,,
34,hierarchy,1633953,,,,,
35,hierarchy,1635018,,,,,
36,hierarchy,1635840,,,,,
37,hierarchy,1634175,,,,,
38,hierarchy,1635305,,,,,
39,hierarchy,1634590,,,,,
40,hierarchy,1635612,,,,,
41,hierarchy,1633362,,,,,
42,hierarchy,1633356,,,,,
43,hierarchy,1633878,,,,,
44,hierarchy,1635363,,,,,
45,hierarchy,1633987,,,,,
46,hierarchy,1635021,,,,,
47,hierarchy,1633778,,,,,
48,hierarchy,1633910,,,,,
49,hierarchy,1634499,,,,,
50,hierarchy,1634648,,,,,
51,hierarchy,1633373,,,,,
52,hierarchy,1634762,,,,,
53,hierarchy,1635309,,,,,
54,hierarchy,1634745,,,,,
55,hierarchy,1634022,,,,,
56,hierarchy,1634738,,,,,
57,hierarchy,1633283,,,,,
58,hierarchy,1633615,,,,,
59,hierarchy,1635740,Ignoring post-treatment stages,,,,
60,hierarchy,1634004,,,,,
61,hierarchy,1633978,,,,,
62,hierarchy,1634406,,,,,
63,hierarchy,1633943,,,,,
64,hierarchy,1633925,,,,,
65,hierarchy,1635888,,,,,
66,hierarchy,1634581,,,,,
67,hierarchy,1635597,,,,,
68,hierarchy,1635613,,,,,
69,hierarchy,1633864,,,,,
70,hierarchy,1635706,,,,,
71,hierarchy,1634916,,,,,
72,hierarchy,1635170,,,,,
73,hierarchy,1634618,,,,,
74,hierarchy,1635505,,,,,
75,hierarchy,1633421,,,,,
76,hierarchy,1635682,,,,,
77,hierarchy,1634654,,,,,
78,hierarchy,1634376,,,,,
79,hierarchy,1635562,,,,,
80,hierarchy,1635564,,,,,
81,hierarchy,1634213,,,,,
82,hierarchy,1633885,,,,,
83,hierarchy,1635445,,,,,
84,hierarchy,1635320,,,,,
85,hierarchy,1634119,,,,,
86,hierarchy,1634434,,,,,
87,hierarchy,1633440,,,,,
88,hierarchy,1633547,,,,,
89,hierarchy,1635142,,,,,
90,hierarchy,1635624,,,,,
91,hierarchy,1635682,,,,,
92,hierarchy,1634654,,,,,
93,hierarchy,1634376,,,,,
94,hierarchy,1635562,,,,,
95,hierarchy,1635564,,,,,
96,hierarchy,1634213,,,,,
97,hierarchy,1633885,,,,,
98,hierarchy,1635445,,,,,
99,hierarchy,1635320,,,,,
100,hierarchy,1634119,,,,,
101,hierarchy,1634434,,,,,
102,hierarchy,1633440,,,,,
103,hierarchy,1633547,,,,,
104,hierarchy,1635142,,,,,
105,hierarchy,1635624,,,,,
106,exact,8507,,,,,
107,exact,8532,,,,,
108,absence,0,,,,,
109,presence,0,,,,,
110,exact,0,,,,,
117,substring,36403188,,,,,
118,substring,44498676,,,,,
119,substring,44498007,,,,,
120,substring,36402200,,,,,
121,substring,44498671,,,,,
122,substring,36402322,,,,,
123,substring,44498673,,,,,
124,substring,44498674,,,,,
125,substring,44498675,,,,,
126,substring,44498443,,,,,
452,hierarchy,4129882,,,,,
1600,exact,4054047,,,,,
1601,exact,4301352,,,,,
1602,exact,4000882,,,,,
134,exact,4308014,,,,,
136,exact,3024653,,,,,
137,exact,0,,,,,
138,exact,44790273,Inconsistencies in observation / procedure domain?,,,,
139,exact,4127745,,,,,
141,exact,4084352,,,,,
1603,exact,4070880,,,,,
1604,exact,4172438,,,,,
144,substring,44498181,,,,,
145,substring,44498182,,,,,
146,substring,44498183,,,,,
147,substring,44498184,,,,,
148,substring,44498185,,,,,
149,substring,44498186,,,,,
150,substring,44498187,,,,,
151,substring,44499065,,,,,
152,substring,44499069,,,,,
153,substring,44499067,,,,,
154,substring,44499070,,,,,
155,exact,36768083,,,,,
156,exact,36768171,,,,,
157,exact,36769532,,,,,
158,exact,36770091,,,,,
159,exact,36770283,,,,,
160,exact,35226169,,,,,
161,exact,35225629,,,,,
162,exact,35225630,,,,,
163,exact,35225632,,,,,
164,exact,35226291,,,,,
165,exact,35226292,,,,,
166,exact,35226293,,,,,
167,exact,35225657,,,,,
168,substring,44498017,,,,,
169,substring,44498018,,,,,
170,substring,44498019,,,,,
171,substring,44498026,,,,,
172,substring,44498027,,,,,
173,substring,44498028,,,,,
174,substring,44498029,,,,,
175,substring,44498031,,,,,
176,substring,44498032,,,,,
177,substring,44498034,,,,,
178,substring,44498035,,,,,
179,substring,44498036,,,,,
180,substring,44498038,,,,,
181,substring,44498039,,,,,
111,presence,4301352,,,,,
140,exact,4295043,,,,,
135,exact,43054909,,,,,
116,presence,0,,,,,
21,hierarchy,1634123,,,,,
13,hierarchy,1634868,,,,,
11,hierarchy,1635020,,,,,
10,hierarchy,1634019,,,,,
22,hierarchy,1633743,,,,,
23,hierarchy,1634338,,,,,
9,hierarchy,1634494,,,,,
112,absence,4301352,,,,,
32,hierarchy,1635855,,,,,
115,presence,0,,,,,
453,hierarchy,40481902,,,,,
129,scalar,36305384,,1,eq,meas_value_num,
128,scalar,36305384,,0,eq,meas_value_num,
130,scalar,36305384,,2,eq,meas_value_num,
113,presence,4162591,,,,,
182,substring,44498040,,,,,
183,substring,44498041,,,,,
184,substring,44498043,,,,,
185,substring,44498049,,,,,
186,substring,44498050,,,,,
187,substring,44498051,,,,,
188,substring,44498052,,,,,
189,substring,44498053,,,,,
454,hierarchy,4131614,,,,,
191,substring,44498030,,,,,
192,substring,44498044,,,,,
193,substring,44498045,,,,,
194,substring,44498046,,,,,
195,substring,44498047,,,,,
196,substring,44498062,,,,,
197,substring,44498063,,,,,
198,substring,44498064,,,,,
199,substring,44498065,,,,,
200,substring,44498067,,,,,
201,substring,44498068,,,,,
202,substring,44498069,,,,,
203,substring,44498070,,,,,
204,substring,44498071,,,,,
205,substring,44498072,,,,,
206,substring,44498073,,,,,
207,substring,44498075,,,,,
208,substring,44498076,,,,,
209,substring,44498077,,,,,
210,substring,44498078,,,,,
211,substring,44498079,,,,,
212,substring,44498080,,,,,
455,hierarchy,4130514,,,,,
214,substring,44498084,,,,,
215,substring,44498085,,,,,
216,substring,44498086,,,,,
217,substring,44498087,,,,,
218,substring,44498088,,,,,
219,substring,44498173,,,,,
220,substring,44498174,,,,,
221,substring,44498175,,,,,
222,substring,44498176,,,,,
223,substring,44498177,,,,,
224,substring,44498178,,,,,
225,substring,44498163,,,,,
226,substring,44498164,,,,,
227,substring,44498166,,,,,
228,substring,44498167,,,,,
229,substring,44498168,,,,,
230,substring,44498169,,,,,
231,substring,44498170,,,,,
232,substring,44498171,,,,,
233,substring,44498090,,,,,
234,substring,44498092,,,,,
235,substring,44497980,,,,,
236,substring,44497989,,,,,
237,substring,44498112,,,,,
238,substring,44498119,,,,,
239,substring,44498130,,,,,
240,substring,44498132,,,,,
241,substring,44498134,,,,,
242,substring,44498656,,,,,
243,substring,44498657,,,,,
244,substring,44498660,,,,,
245,substring,44498661,,,,,
246,substring,44498662,,,,,
247,substring,44498664,,,,,
248,substring,44498665,,,,,
249,substring,44498666,,,,,
250,substring,44498678,,,,,
251,substring,44498679,,,,,
252,substring,44498681,,,,,
253,substring,44498684,,,,,
254,substring,44498687,,,,,
255,substring,44498688,,,,,
256,substring,36402341,,,,,
257,substring,44498690,,,,,
258,substring,44498691,,,,,
259,substring,44498692,,,,,
260,substring,44498693,,,,,
261,substring,44498694,,,,,
262,substring,44498695,,,,,
263,substring,44498696,,,,,
264,substring,44498697,,,,,
265,substring,44498698,,,,,
266,substring,44498702,,,,,
267,substring,44498703,,,,,
268,substring,44498736,,,,,
269,substring,44498737,,,,,
270,substring,44498738,,,,,
271,substring,44498792,,,,,
272,substring,44498801,,,,,
273,substring,44498802,,,,,
274,substring,44498805,,,,,
275,substring,44498813,,,,,
276,substring,44498816,,,,,
277,substring,44498818,,,,,
278,substring,44498821,,,,,
279,substring,44498822,,,,,
280,substring,44498823,,,,,
281,substring,44498824,,,,,
282,substring,44498826,,,,,
283,substring,44498849,,,,,
284,substring,44498875,,,,,
285,substring,44498335,,,,,
286,substring,44498885,,,,,
287,substring,36402238,,,,,
288,substring,44498341,,,,,
289,substring,44498343,,,,,
290,substring,44498344,,,,,
291,substring,44498345,,,,,
292,substring,44498550,,,,,
293,substring,44498551,,,,,
294,substring,44498552,,,,,
295,substring,44498557,,,,,
296,substring,44498560,,,,,
297,substring,44498561,,,,,
298,substring,44498563,,,,,
299,substring,44499028,,,,,
300,substring,44499031,,,,,
114,presence,0,,,,,
301,hierarchy,443388,,,,,
302,hierarchy,443399,,,,,
340,hierarchy,4029971,,,,,
127,hierarchy,4147603,"",,,,
303,hierarchy,4114222,,,,,
305,hierarchy,4115276,,,,,
306,hierarchy,4208307,,,,,
304,hierarchy,4252582,,,,,
307,hierarchy,602695,,,,,
308,hierarchy,4110591,,,,,
309,hierarchy,37395650,,,,,
310,hierarchy,37167517,,,,,
311,hierarchy,602160,,,,,
312,hierarchy,605477,,,,,
313,hierarchy,605476,,,,,
314,hierarchy,602159,,,,,
315,hierarchy,44502427,,,,,
316,hierarchy,37395648,,,,,
317,hierarchy,44502159,,,,,
318,hierarchy,608925,,,,,
319,hierarchy,37395649,,,,,
320,hierarchy,44500000,,,,,
321,hierarchy,44499678,,,,,
322,hierarchy,608926,,,,,
323,hierarchy,36713366,,,,,
324,hierarchy,602696,,,,,
325,hierarchy,602161,,,,,
326,hierarchy,36521732,,,,,
327,hierarchy,37395651,,,,,
328,hierarchy,4237133,,,,,
329,hierarchy,4233361,,,,,
330,hierarchy,4219923,,,,,
331,hierarchy,4277415,,,,,
332,hierarchy,4243327,,,,,
333,hierarchy,4009590,,,,,
334,hierarchy,4029973,,,,,
335,hierarchy,4016393,,,,,
336,hierarchy,4028540,,,,,
337,hierarchy,4052146,,,,,
338,hierarchy,4183159,,,,,
339,hierarchy,4191609,,,,,
341,hierarchy,4227888,,,,,
342,hierarchy,4030122,,,,,
343,hierarchy,4233949,,,,,
344,hierarchy,4012173,,,,,
345,hierarchy,4029986,,,,,
346,hierarchy,4240952,,,,,
347,hierarchy,4029015,,,,,
348,hierarchy,4193751,,,,,
349,hierarchy,4078953,,,,,
350,hierarchy,4172953,,,,,
351,hierarchy,4028533,,,,,
352,hierarchy,4028878,,,,,
353,hierarchy,4175678,,,,,
354,hierarchy,4331315,,,,,
355,hierarchy,4030124,,,,,
356,hierarchy,4093456,,,,,
357,hierarchy,4332050,,,,,
358,hierarchy,4045625,,,,,
359,hierarchy,4028539,,,,,
360,hierarchy,4028879,,,,,
361,hierarchy,4164740,,,,,
362,hierarchy,4055959,,,,,
363,hierarchy,4312219,,,,,
364,hierarchy,4029984,,,,,
365,hierarchy,4034839,,,,,
366,hierarchy,4148292,,,,,
367,hierarchy,4132730,,,,,
368,hierarchy,4166826,,,,,
369,hierarchy,4247921,,,,,
370,hierarchy,4198862,,,,,
371,hierarchy,4029683,,,,,
372,hierarchy,4029189,,,,,
373,hierarchy,4271564,,,,,
374,hierarchyexclusion,4252582,,,,,
375,hierarchyexclusion,602695,,,,,
376,hierarchyexclusion,4110591,,,,,
377,hierarchyexclusion,37395650,,,,,
378,hierarchyexclusion,37167517,,,,,
379,hierarchyexclusion,602160,,,,,
380,hierarchyexclusion,605477,,,,,
381,hierarchyexclusion,605476,,,,,
382,hierarchyexclusion,602159,,,,,
383,hierarchyexclusion,44502427,,,,,
384,hierarchyexclusion,37395648,,,,,
385,hierarchyexclusion,44502159,,,,,
386,hierarchyexclusion,608925,,,,,
387,hierarchyexclusion,37395649,,,,,
388,hierarchyexclusion,44500000,,,,,
389,hierarchyexclusion,44499678,,,,,
390,hierarchyexclusion,608926,,,,,
391,hierarchyexclusion,36713366,,,,,
392,hierarchyexclusion,602696,,,,,
393,hierarchyexclusion,602161,,,,,
394,hierarchyexclusion,36521732,,,,,
395,hierarchyexclusion,37395651,,,,,
396,exact,4175026,,,,,
397,exact,4173614,,,,,
398,exact,4172043,,,,,
399,exact,4174241,,,,,
400,exact,4174251,,,,,
401,exact,4173456,,,,,
402,exact,4308794,,,,,
403,exact,36305384,,,,,
404,exact,35948173,,,,,
405,exact,35952943,,,,,
406,exact,35957723,,,,,
407,exact,35962802,,,,,
408,exact,35963763,,,,,
456,hierarchy,443398,,,,,
409,scalar,0,,31,lt,tx_to_death_window,
410,hierarchyexclusion,4300118,,,,,
190,substring,44498024,,,,,
213,substring,44498082,,,,,
